titre,description,lieu,image
"Nomade, 2007"," Painted stainless steel, 800 x 550 x 530 cm","Installation view at Bastion Saint-Jaume, Musée Picasso, Antibes, France 2007. Collection Pappajohn Sculpture Park, Des Moines Art Center, Iowa, USA",https://jaumeplensa.com/gestorPlensa/images/entradas/entrada-40/39-IMG_0876.jpg
"Nomade, 2007"," Painted stainless steel, 800 x 550 x 530 cm","Installation view at Ocean Drive, Art Basel-Miami Beach, Florida, USA 2007. Collection Pappajohn Sculpture Park, Des Moines Art Center, Iowa, USA",https://jaumeplensa.com/gestorPlensa/images/entradas/entrada-40/40-1245NomadeJaume.jpg
"Twentynine Palms, 2007","Stainless steel, 29 elements of variable dimensions","Installation view at IVAM-Institut Valencià d'Art Modern de Valencia, Spain 2007. Collection Umeå University Library, Sweden",https://jaumeplensa.com/gestorPlensa/images/entradas/entrada-40/19.jpg
"Where Are You? I, II and III, 2007"," Polyester resin, stainless steel and light, 130 x 152 x 210 cm each","Installation view at IVAM-Valencia, Spain 2007. Collection Clarion Trondheim Hotel, Norway",https://jaumeplensa.com/gestorPlensa/images/entradas/entrada-40/34-Where-are-you-i-II-III.jpg
"Sho, 2007"," Painted stainless steel, 400 x 400 x 300 cm","Collection Meadows Museum, Dallas, USA",https://jaumeplensa.com/gestorPlensa/images/entradas/entrada-40/24-M820080423-1947-000558.jpg
"Overflow II, III and IV, 2006"," Stainless steel, 223 x 245 x 255 cm each","Installation view at MAMAC-Musée d'Art Moderne et d'Art Contemporain, Nice, France 2007",https://jaumeplensa.com/gestorPlensa/images/entradas/entrada-40/38-NICE1133.jpg
"Doors of Jerusalem I, II and III, 2006"," Polyester resin, stainless steel and light, 120 x 158 x 205 cm each","Installation view at MAMAC-Nice, France 2007. Collection North Carolina Museum of Art, Raleigh, USA",https://jaumeplensa.com/gestorPlensa/images/entradas/entrada-40/37-NICE1118.jpg
"Winter Kept us Warm III, 1999"," Glass, stainless steel and light, 400 x 200 x 200 cm","Installation view at Beyond Limits. Sotheby's at Chatsworth, Derbyshire, UK 2007",https://jaumeplensa.com/gestorPlensa/images/entradas/entrada-40/53-694D07010.jpg
"Where are You?, 2006","Snow and light, 2,000 cm diameter x 50 cm depth","The Snow Show, in collaboration with Norman Foster for the 20th Winter Olympic Games, Sestriere, Turin, Italy, 2006",https://jaumeplensa.com/gestorPlensa/images/entradas/entrada-40/58-The%20Snow%20Show.jpg
"Where are You?, 2006","Snow and light, 2,000 cm diameter x 50 cm depth","The Snow Show, in collaboration with Norman Foster for the 20th Winter Olympic Games, Sestriere, Turin, Italy, 2006",https://jaumeplensa.com/gestorPlensa/images/entradas/entrada-40/57-The%20Snow%20Show.jpg
"Jerusalem, 2006","Bronze, rope, wood and wool, 9 pairs of gongs, 130 cm diameter each","Installation view at Museu Es Baluard, Palma de Mallorca, Spain 2006",https://jaumeplensa.com/gestorPlensa/images/entradas/entrada-40/Jerusalem8.jpg
